raw,kalman
2060.00,2058.62
2067.00,2058.71
2057.00,2058.69
2063.00,2058.74
2058.00,2058.73
2057.00,2058.71
2065.00,2058.78
2063.00,2058.82
2063.00,2058.87
2059.00,2058.87
2063.00,2058.91
2057.00,2058.89
2059.00,2058.90
2059.00,2058.90
2055.00,2058.86
2063.00,2058.90
2063.00,2058.94
2063.00,2058.98
2063.00,2059.02
2059.00,2059.02
2067.00,2059.10
2058.00,2059.09
2063.00,2059.13
2057.00,2059.11
2065.00,2059.17
2058.00,2059.16
2063.00,2059.19
2065.00,2059.25
2063.00,2059.29
2059.00,2059.29
2067.00,2059.36
2063.00,2059.40
2067.00,2059.47
2065.00,2059.53
2067.00,2059.60
2063.00,2059.63
2069.00,2059.73
2059.00,2059.72
2063.00,2059.75
2063.00,2059.78
2067.00,2059.85
2053.00,2059.79
2063.00,2059.82
2057.00,2059.79
2065.00,2059.84
2068.00,2059.92
2058.00,2059.90
2063.00,2059.93
2055.00,2059.88
2059.00,2059.88
2063.00,2059.91
2063.00,2059.94
2060.00,2059.94
2057.00,2059.91
2063.00,2059.94
2055.00,2059.89
2057.00,2059.86
2063.00,2059.89
2067.00,2059.96
2063.00,2059.99
2065.00,2060.04
2063.00,2060.06
2058.00,2060.05
2063.00,2060.07
2067.00,2060.14
2067.00,2060.20
2059.00,2060.19
2057.00,2060.16
2057.00,2060.13
2063.00,2060.16
2057.00,2060.13
2059.00,2060.12
2063.00,2060.14
2063.00,2060.17
2065.00,2060.21
2053.00,2060.15
2063.00,2060.18
2053.00,2060.11
2063.00,2060.14
2053.00,2060.07
2063.00,2060.10
2057.00,2060.07
2057.00,2060.04
2056.00,2060.00
2058.00,2059.99
2059.00,2059.98
2059.00,2059.97
2063.00,2060.00
2055.00,2059.95
2059.00,2059.94
2057.00,2059.92
2059.00,2059.91
2063.00,2059.94
2059.00,2059.93
2053.00,2059.87
2059.00,2059.86
2056.00,2059.83
2059.00,2059.82
2063.00,2059.85
2057.00,2059.82
2063.00,2059.85
2057.00,2059.83
2063.00,2059.85
2063.00,2059.88
2063.00,2059.91
2059.00,2059.90
2059.00,2059.89
2057.00,2059.87
2066.00,2059.92
2065.00,2059.96
2059.00,2059.95
2055.00,2059.91
2059.00,2059.90
2055.00,2059.86
2063.00,2059.89
2055.00,2059.85
2059.00,2059.84
2057.00,2059.82
2057.00,2059.79
2063.00,2059.82
2065.00,2059.86
2063.00,2059.89
2059.00,2059.88
2057.00,2059.86
2058.00,2059.84
2057.00,2059.82
2057.00,2059.80
2063.00,2059.82
2063.00,2059.85
2059.00,2059.84
2063.00,2059.87
2057.00,2059.84
2058.00,2059.83
2055.00,2059.79
2059.00,2059.78
2059.00,2059.78
2055.00,2059.74
2055.00,2059.70
2043.00,2059.57
2055.00,2059.54
2059.00,2059.53
2059.00,2059.53
2059.00,2059.53
2055.00,2059.49
2063.00,2059.52
2059.00,2059.51
2056.00,2059.49
2045.00,2059.37
2059.00,2059.37
2054.00,2059.33
2057.00,2059.31
2056.00,2059.28
2059.00,2059.28
2045.00,2059.17
2059.00,2059.17
2056.00,2059.14
2059.00,2059.14
2056.00,2059.12
2059.00,2059.12
2056.00,2059.09
2053.00,2059.04
2057.00,2059.03
2059.00,2059.03
2057.00,2059.01
2055.00,2058.98
2059.00,2058.98
2057.00,2058.97
2045.00,2058.86
2053.00,2058.82
2058.00,2058.81
2053.00,2058.76
2055.00,2058.73
2044.00,2058.62
2055.00,2058.59
2056.00,2058.57
2057.00,2058.56
2054.00,2058.52
2043.00,2058.40
2057.00,2058.39
2053.00,2058.35
2059.00,2058.35
2055.00,2058.32
2035.00,2058.14
2057.00,2058.13
2063.00,2058.17
2059.00,2058.18
2057.00,2058.17
2055.00,2058.14
2045.00,2058.03
2057.00,2058.03
2058.00,2058.03
2053.00,2057.98
2063.00,2058.03
2059.00,2058.03
2058.00,2058.03
2053.00,2057.99
2055.00,2057.97
2056.00,2057.95
2055.00,2057.93
2055.00,2057.91
2055.00,2057.88
2057.00,2057.88
2055.00,2057.85
2056.00,2057.84
2055.00,2057.82
2057.00,2057.81
2057.00,2057.80
2055.00,2057.78
2058.00,2057.78
2055.00,2057.76
2055.00,2057.74
2044.00,2057.64
2057.00,2057.63
2053.00,2057.59
2059.00,2057.61
2063.00,2057.65
2057.00,2057.64
2045.00,2057.55
2043.00,2057.43
2055.00,2057.41
2058.00,2057.42
2056.00,2057.41
2057.00,2057.40
2056.00,2057.39
2057.00,2057.39
2045.00,2057.29
2056.00,2057.28
2055.00,2057.26
2057.00,2057.26
2067.00,2057.34
2065.00,2057.40
2070.00,2057.50
2085.00,2057.72
2117.00,2058.21
2149.00,2059.06
2189.00,2060.47
2223.00,2062.66
2248.00,2065.91
2269.00,2070.68
2291.00,2077.73
2333.00,2088.97
2382.00,2107.25
2429.00,2136.22
2469.00,2179.12
2511.00,2237.78
2535.00,2305.32
2568.00,2375.18
2595.00,2438.62
2631.00,2495.09
2660.00,2542.75
2696.00,2585.29
2727.00,2623.01
2759.00,2657.64
2778.00,2687.08
2791.00,2711.28
2796.00,2729.88
2796.00,2743.38
2808.00,2755.52
2823.00,2767.33
2840.00,2779.37
2857.00,2791.75
2869.00,2803.77
2887.00,2816.45
2895.00,2828.30
2895.00,2838.21
2907.00,2848.12
2921.00,2858.39
2927.00,2867.93
2943.00,2878.17
2955.00,2888.60
2963.00,2898.67
2967.00,2907.86
2969.00,2915.97
2968.00,2922.71
2963.00,2927.76
2968.00,2932.55
2973.00,2937.16
2984.00,2942.30
2975.00,2945.81
2985.00,2949.82
2983.00,2953.12
2974.00,2955.13
2973.00,2956.75
2984.00,2959.09
2981.00,2960.92
2988.00,2963.08
2998.00,2965.79
2999.00,2968.34
3015.00,2971.87
3003.00,2974.24
3027.00,2978.20
3028.00,2982.02
3031.00,2985.82
3038.00,2989.92
3037.00,2993.68
3035.00,2997.00
3048.00,3001.08
3054.00,3005.37
3053.00,3009.29
3061.00,3013.56
3075.00,3018.70
3068.00,3022.93
3065.00,3026.55
3069.00,3030.18
3065.00,3033.13
3076.00,3036.69
3077.00,3040.03
3087.00,3043.89
3080.00,3046.87
3077.00,3049.31
3079.00,3051.67
3083.00,3054.10
3090.00,3056.83
3083.00,3058.80
3087.00,3060.87
3095.00,3063.33
3091.00,3065.31
3087.00,3066.83
3095.00,3068.75
3093.00,3070.38
3092.00,3071.80
3089.00,3072.91
3087.00,3073.79
3091.00,3074.82
3091.00,3075.77
3095.00,3076.87
3091.00,3077.66
3095.00,3078.60
3087.00,3079.05
3091.00,3079.67
3097.00,3080.53
3091.00,3081.05
3095.00,3081.71
